Running node v0.10.38
Bagartorp;59.3791392;17.9986271;suburb
Staffanstorp;55.6427393;13.2113993;town
Dalby;55.6646637;13.3461589;village
Solna;59.361367;18.0013693;town
Sundbyberg;59.3697347;17.9583631;town
Södermalm;59.3159445;18.0779938;suburb
Tygelsjö;55.5146694;13.0017156;village
Arlöv;55.6378013;13.0777501;town
Vellinge;55.470895;13.0199449;town
Åkarp;55.652321;13.1085165;village
Hjärup;55.6698487;13.1399724;village
Södra Sandby;55.7171687;13.3474337;village
Veberöd;55.6334996;13.4925649;village
Sjöbo;55.6350867;13.7031168;town
Skåre;55.3771333;13.0503299;hamlet
Västra Klagstorp;55.527801;12.9931863;village
Bunkeflostrand;55.5533622;12.9155885;village
Bjärred;55.7221863;13.0216436;town
Upplands Väsby;59.517164;17.9164192;town
Ekerö;59.2904595;17.813072;town
Bräcke;62.7526481;15.4191848;town
Fränsta;62.4991238;16.170082;village
Fångsjöbacken;63.0562066;16.7763151;hamlet
Bispgården;63.0241535;16.6354903;village
Mellansel;63.4247722;18.3088234;village
Vännäs;63.9059347;19.7512844;town
Vindeln;64.2024817;19.7177522;town
Bastuträsk;64.789528;20.0438232;village
Jörn;65.0576461;20.0412648;village
Älvsbyn;65.6751413;20.9969227;town
Råneå;65.8560881;22.2899971;village
Töre;65.9131293;22.6478278;village
Sangis;65.8557891;23.4957498;village
Johannisdal;59.0186717;16.8505146;hamlet
Oppeby;59.022971;16.8250599;hamlet
Helgesta;59.0313621;16.7922307;hamlet
Björkäng;59.0582632;16.7613328;hamlet
Hall;59.0475362;16.7657519;hamlet
Turtola;66.6427828;23.8870196;village
Kolari;67.3303348;23.7814738;town
Gåsholmen;60.4528859;14.7271913;hamlet
Handbacken;60.4573855;14.6900468;hamlet
Strängnäs;59.3763155;17.0268194;town
Björbo;60.456683;14.7272515;village
Skoghall;59.3241856;13.4705229;town
Lövberget;60.3860585;14.6842329;hamlet
Gnesta;59.0467408;17.3116669;town
Heby;59.1390472;17.2137361;hamlet
Ockelbo;60.889389;16.7173614;town
Timrå;62.4893197;17.3273736;town
Hammarstrand;63.1085771;16.3558429;town
Öckerö;57.7113523;11.6507095;town
Olofström;56.2789975;14.5333253;town
Krokom;63.3258817;14.449431;town
Järpen;63.348376;13.4636687;town
Hofors;60.5454521;16.2855241;town
Bergsjö;61.9837757;17.0583699;town
